id	name
ec836d2b-8d01-4efa-8a3e-13d039d4a619	Wheat
0ae70086-3fdb-4824-93f2-9bf2d023f6c9	Cereals
a7bdc235-ad71-463f-bb0c-721e62a1a187	Celery
3f12401a-12b2-4904-a92b-af9434b635ec	Carrots
c79f6536-a600-46bb-8d09-4213a4ee05d6	Potatoes
1471b5e4-7122-4038-b000-a45d77705bfa	Eggs
98afd7cc-13ad-4f7e-a243-e8021bd3db9c	Fish
ae774945-fa3a-4fe1-be4a-dd852345c216	Melon
88034a26-f2ba-4c3f-b590-419231f13d71	Mangos
2f1646c7-9ace-4506-9466-29225db7f294	Pawpaws
d359f56f-c41e-4c1a-98b0-07c57bf2da13	Pineapples
625271f5-bab7-4332-b96c-c77eac73d348	Strawberries
8266de3d-93d9-49ad-b2fe-764c214dc372	Apples
36e3757b-42b8-4ab4-ade1-1a0a2a84e9e2	Bananas
159fec44-854f-4ef0-b335-dc897df0b766	Avocados
0f1b3798-326f-4176-808c-943d88eddaf7	Garlic
8864dd59-7e7c-4c1f-ac77-bf4d5bf15acf	Oats
1b4e35e7-8846-4646-bc57-eca06384b23c	Maize
52219c73-9879-4dbf-aacb-de99be011337	Milk
fae06f0f-30ed-4579-8064-65e90940fd44	Butter
c3ff42d6-20be-4f82-a371-c052dfc85255	Cheese
d8f4ccf6-60cc-4c53-a38f-a4e7056dc6fc	Cream/ Sour Cream
d9890b92-8113-4a1b-8634-a2949b735ff7	Yogurt
411566e6-e223-467c-a56e-e3cd79b480f5	Custard
2f6357b5-99fd-412b-b9b9-7f0f3eba6fc4	Ice cream
f0d4669b-3bf8-4af3-adc3-46b8c7341907	Pudding
a39db3e5-2428-48f0-bae8-eb79a0ddea30	Peanuts
3d3ae306-48d8-4806-84f4-614cd291fc0b	Poultry Meat
1599d3e2-f1da-44b8-9510-fab6cacf1011	Red Meat
9cf75ff5-5fe2-4c82-b9e4-51403fab93f6	Rice
fa2ffa30-f791-40ec-b2af-451d51cc2c4d	Shellfish
94bd86e5-5f3a-41d7-936f-8df9612234a1	Soya beans
1c98bf76-37f7-454c-95d5-5b3061698f15	Sulfites
2a789ddc-430b-473a-bf60-ac70efb3a4bf	Preservatives
e269b16b-3af9-445d-8a85-c4ea86a8add3	Hayfever
e8dfb82b-dc08-431d-beac-9b59c2da3907	Asthma
d707c728-abc4-42a6-b797-2ba8f6a9600c	Eczema
8f326f57-803f-45a0-af44-459f0bf30cd2	Tetracycline
1a79137a-3f4a-48cc-9d7c-fbe01501a19f	Carbamazepine
d680c111-5bbd-47e6-abf1-3cb03865de13	Penicillins
b539ee90-a47a-40e6-ac2c-3b907053beca	Cephalosporins
557783c8-c2b7-4a1b-9ba0-75612710eebd	Sulfonamides
20ac5612-1dfb-49a5-807c-199dde209dcf	Non-steroidal anti-inflammatory drugs
b3c6c04c-532a-4f4a-baeb-f449afd7f797	Contrast dye
6e4b1fe2-f7b0-4832-862c-26a3108b21b2	Local anaesthetics
b442f370-4cb9-438a-bc6f-38d0fdbab27d	Pollen
adc70a0f-12a8-47b3-a980-145b55556499	Grass
95015670-9b27-4f58-a8c6-8c91e44b38f1	Trees
a58a399b-a64b-4690-9fc1-4f30ee77a380	Cats
248c3079-a300-47ee-9525-af293f0a604f	Dogs
96be3191-62d0-4558-ad57-a50fe3f6173f	Insect sting
7d54c246-820b-4b23-b530-f583c798bd26	Poison Ivy
7ca2d83a-36ba-4c5e-99cc-7a70a5bd30df	Mold
75d15ebb-053e-433b-8e40-bd1984cbec71	Perfume
ad473277-4565-477f-a195-440b326aa501	Cosmetics
bd9c4e75-753b-4398-8aa7-c424a82cb823	Semen
13554852-1671-4bd0-81c7-becec59b8685	Water
6fcb69dc-0f35-4fcf-8a97-3c675f72e077	Latex
76b14cff-55bf-4a8b-afcd-f3e1bd302a03	Cold stimuli
431d4910-28de-456a-9b60-c6c9ccea6660	House dust mites
aa48dafc-6843-4c4b-a780-329dca721cb0	Gold
d18182e7-ea6d-4582-aa33-6ef8dd6055cb	Nickel
55bdfa28-ebc6-47ee-b3eb-6ac361a032c2	Chromium
3138d1c7-49ba-4892-a36e-afd952d3da23	Cobalt chloride
685abfbb-1cc4-45d0-8730-9ad0416f15b9	Formaldehye
3fdc9d53-a3b4-4a56-a927-b4b736e324e4	Photographic developers
10259e51-3e98-493c-8f07-9eef5522cd0a	Fungicide
6d48a9dd-b922-4a79-a4a6-12cfcff350f1	Liquid soap
df47fdae-5d7e-4c10-9307-e99a6744cd59	Shampoos
3460b5f4-1629-4033-bb49-f465100c966f	Latex
f69efea3-7698-4ab8-a298-6b96c856337b	Hair dyes
2bbeaf69-626e-4b2d-a8e4-7bc8998dffa5	Colour developers
3d164808-5b12-427e-b82f-01690e120e23	Body paints/ Henna
2fa229ab-2f31-47bc-bf43-c75632a4eabf	Nail polish
cc9b1116-7349-444a-aede-4aa689ffdc38	Swimming gear
0ebbf9d8-4e4d-4b95-86fc-02b1dda7c806	Cotton
09818ace-0982-4b56-a713-c309dc0dbcab	Wool
24fa060d-42ea-4882-bc52-cca163ca185d	Synthetics
