id	created_at	updated_at	organization_id	name
0b570d57-2345-45ef-92fa-01254b5433be	2025-12-17 11:19:17.625971-05	2025-12-17 11:19:17.625971-05	00000000-0000-1000-8000-000000000001	Primary care room 101
ba6945ab-71d9-4649-acc5-cdd1e68529f5	2025-12-17 11:19:17.625971-05	2025-12-17 11:19:17.625971-05	00000000-0000-1000-8000-000000000001	Primary care room 102
f4438c18-e687-47fb-8174-6decfd3a8057	2025-12-17 11:19:17.625971-05	2025-12-17 11:19:17.625971-05	00000000-0000-1000-8000-000000000001	Maternity room 1
ca6c717e-0268-4673-a2a7-2ebed16928e5	2025-12-17 11:19:17.625971-05	2025-12-17 11:19:17.625971-05	00000000-0000-1000-8000-000000000001	Immunizations room 1
a362573c-93ba-4e1f-b6b2-2d152377f33d	2025-12-17 11:19:17.625971-05	2025-12-17 11:19:17.625971-05	00000000-0000-1000-8000-000000000001	Chronic diseases room 1
1f40a243-baa0-464a-824b-2682b0271a40	2025-12-17 11:19:17.625971-05	2025-12-17 11:19:17.625971-05	00000000-0000-1000-8000-000000000001	Reception
6ae09848-376e-48c6-86c4-45516e0eda7c	2025-12-17 11:19:17.625971-05	2025-12-17 11:19:17.625971-05	00000000-0000-1000-8000-000000000001	Waiting room
7670806b-80b6-4b92-a24f-d5ed2bbc852e	2025-12-17 11:19:17.625971-05	2025-12-17 11:19:17.625971-05	00000000-0000-1000-8000-000000000001	Triage room 1
cac320c3-f3fb-4c89-933a-90d138dc3db2	2025-12-17 11:19:17.625971-05	2025-12-17 11:19:17.625971-05	00000000-0000-1000-8000-000000000001	Triage room 2
57e10f42-7821-473d-98e6-c1b895633946	2025-12-17 11:19:17.625971-05	2025-12-17 11:19:17.625971-05	00000000-0000-1000-8000-000000000001	Administration
688186a8-542c-4040-a724-48b907eb64b5	2025-12-17 11:19:17.625971-05	2025-12-17 11:19:17.625971-05	00000000-0000-1000-8000-000000000001	Pharmacy
9145c207-2610-4470-b55f-c43e868752aa	2025-12-17 11:19:17.625971-05	2025-12-17 11:19:17.625971-05	00000000-0000-1000-8000-000000000001	Resuscitation area
62f48126-41a3-406e-bd5e-0dcafaa9ec45	2025-12-17 11:19:17.628028-05	2025-12-17 11:19:17.628028-05	00000000-0000-1000-8000-000000000002	Primary care room 101
a0d47278-263e-4b39-8632-e55901d3865d	2025-12-17 11:19:17.628028-05	2025-12-17 11:19:17.628028-05	00000000-0000-1000-8000-000000000002	Primary care room 102
ca23cb28-367f-4ff4-90e9-38b058c05a39	2025-12-17 11:19:17.628028-05	2025-12-17 11:19:17.628028-05	00000000-0000-1000-8000-000000000002	Oncology room 1
ed2b9e84-7c14-4a66-9cad-2dd9b28c7048	2025-12-17 11:19:17.628028-05	2025-12-17 11:19:17.628028-05	00000000-0000-1000-8000-000000000002	Burns room 1
a0d3ca4a-a78c-4700-8908-748e8f1592e3	2025-12-17 11:19:17.628028-05	2025-12-17 11:19:17.628028-05	00000000-0000-1000-8000-000000000002	Reception
2b84b00d-54ee-45fd-b4b2-a6062a2b07bd	2025-12-17 11:19:17.628028-05	2025-12-17 11:19:17.628028-05	00000000-0000-1000-8000-000000000002	Waiting room
